         (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)
         (Engin.)	N        (Engin.)	N        (Engin.)	N        (Engin.)	N        (Engin.)
0  Nominal value	-55.3 N Nominal value	-77.02 N Nominal value	-68.43999 N Nominal value	-56.14 N Nominal value
Not available ID=0	Net signal ID=215	Net signal ID=215	Net signal ID=215	Net signal ID=215
Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0
Not available ID=0	5 V excitation ID=14	5 V excitation ID=14	5 V excitation ID=14	5 V excitation ID=14
Filter = Not available ID=0	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141
fg = Not available ID=0	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935
4.300	-0.003	0.001	0.001	-0.067
4.320	0.002	0.005	-0.182	-0.235
4.340	0.003	0.006	-0.388	-0.409
4.360	-0.001	0.005	-0.564	-0.547
4.380	0.005	0.002	-0.670	-0.638
4.400	0.009	-0.002	-0.681	-0.643
4.420	0.000	-0.002	-0.597	-0.561
4.440	-0.002	0.002	-0.446	-0.449
4.460	0.004	0.007	-0.271	-0.330
4.480	0.002	0.007	-0.109	-0.195
4.500	0.001	0.007	-0.008	-0.095
4.520	0.008	0.005	0.003	-0.079
4.540	0.007	-0.001	-0.066	-0.126
4.560	-0.002	-0.002	-0.191	-0.217
4.580	0.001	0.002	-0.331	-0.349
4.600	0.005	0.005	-0.444	-0.469
4.620	0.000	0.005	-0.499	-0.515
4.640	0.002	0.004	-0.489	-0.502
4.660	0.009	0.003	-0.424	-0.450
4.680	0.003	-0.003	-0.324	-0.358
4.700	-0.003	-0.003	-0.232	-0.288
4.720	0.002	0.004	-0.176	-0.275
4.740	0.002	0.005	-0.167	-0.283
4.760	-0.002	0.005	-0.206	-0.297
4.780	0.004	0.006	-0.272	-0.318
4.800	0.009	0.002	-0.320	-0.309
4.820	0.001	-0.005	-0.314	-0.259
4.840	0.000	-0.002	-0.251	-0.212
4.860	0.005	0.004	-0.147	-0.179
4.880	0.001	0.004	-0.037	-0.135
4.900	-0.002	0.006	0.032	-0.092
4.920	0.006	0.007	0.032	-0.075
4.940	0.006	0.000	-0.031	-0.085
4.960	-0.002	-0.005	-0.144	-0.158
4.980	0.001	-0.002	-0.281	-0.315
5.000	0.003	0.003	-0.405	-0.473
5.020	-0.003	0.002	-0.482	-0.555
5.040	-0.001	0.005	-0.495	-0.541
5.060	0.007	0.006	-0.425	-0.428
5.080	0.004	-0.002	-0.273	-0.247
5.100	-0.001	-0.005	-0.088	-0.092
5.120	0.004	0.000	0.062	-0.039
5.140	0.002	0.003	0.122	-0.068
5.160	-0.004	0.004	0.069	-0.125
5.180	0.001	0.008	-0.078	-0.193
5.200	0.008	0.007	-0.259	-0.260
5.220	0.002	-0.003	-0.400	-0.317
5.240	0.001	-0.005	-0.462	-0.389
5.260	0.006	0.000	-0.445	-0.468
5.280	0.001	0.002	-0.379	-0.497
5.300	-0.005	0.005	-0.303	-0.447
5.320	0.003	0.009	-0.243	-0.345
5.340	0.006	0.007	-0.207	-0.251
5.360	0.000	-0.002	-0.199	-0.225
5.380	0.003	-0.005	-0.213	-0.273
5.400	0.006	0.000	-0.245	-0.341
5.420	-0.001	0.002	-0.285	-0.378
5.440	-0.003	0.005	-0.324	-0.375
5.460	0.005	0.010	-0.343	-0.349
5.480	0.004	0.005	-0.331	-0.323
5.500	0.000	-0.004	-0.293	-0.312
5.520	0.005	-0.004	-0.239	-0.283
5.540	0.004	0.001	-0.193	-0.233
5.560	-0.003	0.003	-0.189	-0.229
5.580	-0.002	0.007	-0.238	-0.298
5.600	0.004	0.009	-0.325	-0.394
5.620	0.000	0.002	-0.427	-0.476
5.640	0.000	-0.005	-0.500	-0.501
5.660	0.006	-0.004	-0.499	-0.433
5.680	0.003	-0.001	-0.406	-0.310
5.700	-0.003	0.003	-0.247	-0.215
5.720	0.001	0.007	-0.072	-0.156
5.740	0.003	0.009	0.055	-0.106
5.760	-0.001	0.003	0.072	-0.098
5.780	0.001	-0.003	-0.030	-0.148
5.800	0.005	-0.003	-0.203	-0.224
5.820	0.001	-0.001	-0.373	-0.312
